6.257,42.343,232.909
6.047,42.348,232.918
5.842,42.353,232.932
5.638,42.357,232.910
5.433,42.360,232.854
5.228,42.363,232.823
5.023,42.368,232.827
4.818,42.373,232.851
4.613,42.377,232.825
4.408,42.381,232.799
4.204,42.385,232.773
3.994,42.389,232.757
3.789,42.393,232.721
3.584,42.395,232.660
3.379,42.399,232.619
3.174,42.404,232.628
2.969,42.410,232.682
2.764,42.415,232.706
2.559,42.418,232.675
2.350,42.422,232.633
2.150,42.426,232.622
1.940,42.430,232.611
1.735,42.435,232.600
1.530,42.439,232.609
1.325,42.443,232.568
1.120,42.446,232.522
0.910,42.451,232.531
0.711,42.455,232.530
0.501,42.459,232.504
0.296,42.464,232.518
0.091,42.469,232.537
-0.114,42.474,232.541
-0.319,42.478,232.515
-0.524,42.481,232.464
-0.734,42.485,232.453
-0.934,42.491,232.496
-1.144,42.496,232.515
-1.349,42.500,232.499
-1.554,42.504,232.463
-1.759,42.508,232.447
-1.963,42.512,232.441
-2.173,42.516,232.430
-2.378,42.521,232.419
-2.583,42.524,232.388
-2.788,42.528,232.362
-2.993,42.533,232.366
-3.203,42.537,232.345
-3.407,42.539,232.274
-3.612,42.544,232.263
-3.822,42.549,232.282
-4.027,42.553,232.265
-4.232,42.557,232.239
-4.437,42.561,232.243
-4.642,42.566,232.252
-4.852,42.571,232.261
-5.057,42.575,232.250
-5.262,42.580,232.244
-5.467,42.584,232.228
-5.676,42.587,232.187
-5.881,42.591,232.161
-6.091,42.595,232.115
-6.296,42.599,232.114
-6.501,42.605,232.163
-6.706,42.609,232.162
-6.916,42.612,232.081
-7.120,42.615,232.014
-7.330,42.619,231.998
-7.535,42.623,231.997
-7.745,42.627,231.946
-7.955,42.629,231.880
-8.159,42.634,231.869
-8.364,42.638,231.873
-8.569,42.643,231.887
-8.774,42.648,231.906
-8.984,42.653,231.905
-9.189,42.657,231.884
-9.399,42.661,231.873
-9.604,42.665,231.857
-9.809,42.669,231.821
-10.019,42.673,231.790
-10.228,42.676,231.748
-10.433,42.680,231.742
-10.643,42.686,231.771
-10.848,42.690,231.745
-11.063,42.694,231.724
-11.268,42.698,231.708
-11.478,42.702,231.687
-11.692,42.703,231.556
-11.898,42.712,231.695
-12.103,42.717,231.719
-12.313,42.721,231.723
-12.523,42.726,231.717
-12.728,42.730,231.715
-12.938,42.735,231.704
-13.147,42.739,231.698
-13.357,42.744,231.687
-13.567,42.748,231.691
-13.772,42.753,231.690
-13.987,42.756,231.649
-14.197,42.760,231.613
-14.402,42.765,231.627
-14.612,42.770,231.631
-14.826,42.773,231.560
-15.036,42.776,231.519
-15.241,42.782,231.577
-15.451,42.787,231.571
-15.661,42.791,231.545
-15.871,42.796,231.559
-16.081,42.800,231.538
